field title,field author,field isbn,field isbn13,field asin,field num_pages,field avg_rating,field num_ratings,field date_pub,field date_pub_edition,field rating,field shelves,field review,field notes,field comments,field votes,field read_count,field date_started,field date_read,field date_added,field owned,field format,field actions
"title    
      H is for Homicide
        (Kinsey Millhone, #8)","author      Grafton, Sue",isbn    044900063X,isbn13    9780449000632,asin    044900063X,"num pages      
        305
        pp",avg rating    3.94,"num ratings    37,030","date pub      May 15, 1991","date pub edition      Jun 23, 1997",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 15, 2022","date read
    
            
                  
      Jun 17, 2022","date added
    
    Jun 15, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      G is for Gumshoe
        (Kinsey Millhone, #7)","author      Grafton, Sue",isbn    0449000621,isbn13    9780449000625,asin    0449000621,"num pages      
        261
        pp",avg rating    3.96,"num ratings    38,229","date pub      Apr 28, 1990","date pub edition      Jun 23, 1997",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 15, 2022","date read
    
            
                  
      Jun 18, 2022","date added
    
    Jun 15, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      F is for Fugitive
        (Kinsey Millhone, #6)","author      Grafton, Sue",isbn    0312939043,isbn13    9780312939045,asin    0312939043,"num pages      
        320
        pp",avg rating    3.95,"num ratings    40,255","date pub      May 15, 1989","date pub edition      Nov 29, 2005",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 14, 2022","date read
    
            
                  
      Jun 15, 2022","date added
    
    Jun 15, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      E is for Evidence
        (Kinsey Millhone, #5)","author      Grafton, Sue",isbn    0312939035,isbn13    9780312939038,asin    0312939035,"num pages      
        320
        pp",avg rating    3.94,"num ratings    40,889","date pub      May 15, 1988","date pub edition      Nov 29, 2005",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 13, 2022","date read
    
            
                  
      Jun 14, 2022","date added
    
    Jun 15, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      D is for Deadbeat
        (Kinsey Millhone, #4)","author      Grafton, Sue",isbn    0312939027,isbn13    9780312939021,asin    0312939027,"num pages      
        307
        pp",avg rating    3.89,"num ratings    44,163","date pub      May 15, 1987","date pub edition      Nov 29, 2005",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 13, 2022","date read
    
            
                  
      Jun 13, 2022","date added
    
    Jun 13, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      B is for Burglar
        (Kinsey Millhone, #2)","author      Grafton, Sue",isbn    0312939000,isbn13    9780312939007,asin    0312939000,"num pages      
        320
        pp",avg rating    3.88,"num ratings    58,486","date pub      May 15, 1985","date pub edition      Nov 29, 2005",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      May 27, 2022","date read
    
            
                  
      May 28, 2022","date added
    
    Jun 13, 2022",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      C is for Corpse
        (Kinsey Millhone, #3)","author      Grafton, Sue",isbn    0312939019,isbn13    9780312939014,asin    0312939019,"num pages      
        243
        pp",avg rating    3.93,"num ratings    53,874","date pub      Nov 24, 1986","date pub edition      Nov 29, 2005",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 12, 2022","date read
    
            
                  
      Jun 13, 2022","date added
    
    Jun 13, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      A Is for Alibi
        (Kinsey Millhone #1)","author      Grafton, Sue",isbn    0312938993,isbn13    9780312938994,asin    0312938993,"num pages      
        308
        pp",avg rating    3.86,"num ratings    188,049","date pub      Apr 15, 1982","date pub edition      Nov 01, 2005","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      May 25, 2022","date read
    
            
                  
      May 25, 2022","date added
    
    May 25, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      Murder on the Orient Express","author      Christie, Agatha",isbn    0007119313,isbn13    9780007119318,asin    B006VWJ2XC,"num pages      
        274
        pp",avg rating    4.20,"num ratings    671,734","date pub      Jan 01, 1934","date pub edition      Jun 04, 2007","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      Feb 20, 2024


            
            
                  
      May 24, 2022","date read
    
            
                  
      Feb 26, 2024


            
            
                  
      Jun 12, 2022","date added
    
    May 24, 2022",owned,"format
        Paperback","actions
        
          view"
"title    
      The Body in the Woods
        (Point Last Seen, #1)","author      Henry, April
        *",isbn    0805098526,isbn13    9780805098525,asin    0805098526,"num pages      
        263
        pp",avg rating    3.81,"num ratings    9,530","date pub      Jun 17, 2014","date pub edition      Jun 17, 2014","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      May 17, 2022","date read
    
            
                  
      May 18, 2022","date added
    
    May 18, 2022",owned,"format
        Hardcover","actions
        
          view"
"title    
      The Quest for Cosmic Justice","author      Sowell, Thomas",isbn    0684864630,isbn13    9780684864631,asin    0684864630,"num pages      
        224
        pp",avg rating    4.38,"num ratings    3,140",date pub      1999,"date pub edition      Feb 05, 2002",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      May 09, 2022","date read
    
            
                  
      May 10, 2022","date added
    
    May 09, 2022",owned,"format
        Paperback","actions
        
          view"
